"","Control Number","Course Number","Section","Day-Hour","Room","Course Title","Unit Credit","Instructor","Exam Group","Restrictions","Department"
"20","00602","98BC","002 SEM","Tu 6-7P","78 BARROWS","Berkeley Connect","1: PF","COHEN, M M","NONE","","AFRICAN AMERICAN STUDIES"
"21","00611","101","001 LEC","MW 4-530P","174 BARROWS","Research Methods for African American Studies","4","ELLIOTT, C","17","","AFRICAN AMERICAN STUDIES"
"22","00617","112B","001 LEC","TuTh 2-330P","20 BARROWS","Political and Economic Development in the Third","4","PASCHEL, T S","2","BY CATEGORY","AFRICAN AMERICAN STUDIES"
"23","00625","115","001 LEC","TuTh 11-1230P","104 BARROWS","Language and Social Issues in Africa","3","MCHOMBO, S A","13","CURRENTLY FULL","AFRICAN AMERICAN STUDIES"
"24","00626","117","001 LEC","M 10-12P","140 BARROWS","African Americans in the Industrial Age, 1865-1970","4","TAYLOR, U Y","7","","AFRICAN AMERICAN STUDIES"
"25","00629","117","101 DIS","W 11-12P","140 BARROWS","African Americans in the Industrial Age, 1865-1970","","TAYLOR, U Y","","","AFRICAN AMERICAN STUDIES"
"26","00638","131","001 LEC","W 3-6P","258 DWINELLE","Caribbean Societies and Cultures","3","LAGUERRE, M S","12","CURRENTLY FULL","AFRICAN AMERICAN STUDIES"
"27","00641","139","001 LEC","TuTh 11-1230P","170 BARROWS","Selected Topics of African American Social","4","LEWIS, J S","13","","AFRICAN AMERICAN STUDIES"
"28","00644","142AC","001 LEC","MW 2-4P","106 STANLEY","Race and American Film","4","COHEN, M M","6","","AFRICAN AMERICAN STUDIES"
"29","00647","142AC","101 DIS","M 6-8P","2060 VALLEY LSB","Race and American Film","","THE STAFF","","","AFRICAN AMERICAN STUDIES"
"30","SEE","C143A","001 LEC","MW 2-5P","170 ZELLERBACH","Performance: An African American Perspective","3","THE STAFF","6","","AFRICAN AMERICAN STUDIES"
"31","00653","152F","001 LEC","TuTh 1230-2P","174 BARROWS","Neo-Slave Narratives","3","SCOTT, D","15","","AFRICAN AMERICAN STUDIES"
"32","00656","153C","001 LEC","TuTh 330-5P","104 BARROWS","Novels of Toni Morrison","3","SCOTT, D","20","CURRENTLY FULL","AFRICAN AMERICAN STUDIES"
"33","00659","156AC","001 LEC","W 10-12P","166 BARROWS","Poetry for the People: Introduction to the Art of P...","4","DE LEON, A","NONE","BY CATEGORY","AFRICAN AMERICAN STUDIES"
"34","00662","156AC","101 DIS","W 12-2P","201 WHEELER","Poetry for the People: Introduction to the Art of P...","","DE LEON, A","","","AFRICAN AMERICAN STUDIES"
"35","00665","156AC","102 DIS","W 12-2P","205 WHEELER","Poetry for the People: Introduction to the Art of P...","","DE LEON, A","","","AFRICAN AMERICAN STUDIES"
"36","00667","156AC","103 DIS","W 12-2P","204 WHEELER","Poetry for the People: Introduction to the Art of P...","","THE STAFF","","","AFRICAN AMERICAN STUDIES"
"37","00806","156AC","104 DIS","W 5-7P","107 MULFORD","Poetry for the People: Introduction to the Art of P...","","THE STAFF","","","AFRICAN AMERICAN STUDIES"
"38","00809","156AC","105 DIS","W 5-7P","89 DWINELLE","Poetry for the People: Introduction to the Art of P...","","THE STAFF","","","AFRICAN AMERICAN STUDIES"
"39","00812","156AC","106 DIS","W 5-7P","106 MULFORD","Poetry for the People: Introduction to the Art of P...","","THE STAFF","","","AFRICAN AMERICAN STUDIES"
"40","00671","158B","001 LEC","TuTh 12-2P","78 BARROWS","Poetry for the People: Practicum","4","DE LEON, A","NONE","","AFRICAN AMERICAN STUDIES"
"41","00673","159","001 LEC","TuTh 4-6P","122 BARROWS","Special Topics in African American Literature","3","STANLEY, C","20","","AFRICAN AMERICAN STUDIES"
"42","00674","C178","001 LEC","TuTh 330-5P","20 BARROWS","Cultural Studies","4","DEWULF, J","20","","AFRICAN AMERICAN STUDIES"
"43","00677","H195A","001 IND","","","Senior Honors Thesis","3: T1","TAYLOR, U Y","NONE","","AFRICAN AMERICAN STUDIES"
"44","00679","H195A","002 IND","","","Senior Honors Thesis","3: T1","RAIFORD, L","NONE","","AFRICAN AMERICAN STUDIES"
"45","00680","H195B","001 IND","","","Senior Honors Thesis","3: 2T","RAIFORD, L","NONE","","AFRICAN AMERICAN STUDIES"
"46","00749","198BC","001 SEM","Tu 6-7P","50 BARROWS","Berkeley Connect","1: PF","COHEN, M M","NONE","JR, SR","AFRICAN AMERICAN STUDIES"
"47","00752","198BC","002 SEM","Tu 5-6P","78 BARROWS","Berkeley Connect","1: PF","COHEN, M M","NONE","JR, SR","AFRICAN AMERICAN STUDIES"
"48","01203","C1","001 LEC","TuTh 2-330P","141 MCCONE","Introduction to Environmental Economics and Policy","4","RAUSSER, G C","2","","ENVIRONMENTAL ECONOMICS AND POLICY"
"49","01206","C1","101 DIS","M 3-4P","321 HAVILAND","Introduction to Environmental Economics and Policy","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"50","01209","C1","102 DIS","W 9-10A","2032 VALLEY LSB","Introduction to Environmental Economics and Policy","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"51","01212","C1","103 DIS","W 4-5P","283 DWINELLE","Introduction to Environmental Economics and Policy","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"52","01215","C1","104 DIS","F 2-3P","2030 VALLEY LSB","Introduction to Environmental Economics and Policy","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"53","01218","100","001 LEC","TuTh 2-330P","101 LSA","Microeconomic Theory with Application to Natural","4","PERLOFF, J M","2","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"54","01221","100","101 DIS","M 3-4P","201 GIANNINI","Microeconomic Theory with Application to Natural","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"55","01224","100","102 DIS","W 9-10A","201 GIANNINI","Microeconomic Theory with Application to Natural","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"56","01227","100","103 DIS","W 8-9A","107 GPB","Microeconomic Theory with Application to Natural","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"57","01230","100","104 DIS","F 2-3P","206 DWINELLE","Microeconomic Theory with Application to Natural","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"58","01233","C101","001 LEC","TuTh 330-5P","2040 VALLEY LSB","Environmental Economics","4","ROLAND-HOLST, D","20","","ENVIRONMENTAL ECONOMICS AND POLICY"
"59","01236","C101","101 DIS","M 9-10A","2032 VALLEY LSB","Environmental Economics","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"60","01239","C101","102 DIS","M 3-4P","103 MOFFITT","Environmental Economics","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"61","01242","C101","103 DIS","W 9-10A","2038 VALLEY LSB","Environmental Economics","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"62","01245","C101","104 DIS","W 4-5P","2066 VALLEY LSB","Environmental Economics","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"63","01248","C101","105 DIS","F 1-2P","2062 VALLEY LSB","Environmental Economics","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"64","01251","C101","106 DIS","F 3-4P","2011 VALLEY LSB","Environmental Economics","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"65","01278","143","001 LEC","TuTh 930-11A","145 MOFFITT","Economics of Innovation and Intellectual Property","3","WRIGHT, B","10","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"66","01281","147","001 LEC","TuTh 930-11A","141 GIANNINI","Regulation of Energy and the Environment","4","FOWLIE, M","10","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"67","01284","147","101 DIS","W 8-9A","201 GIANNINI","Regulation of Energy and the Environment","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"68","01287","147","102 DIS","F 2-3P","2062 VALLEY LSB","Regulation of Energy and the Environment","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"69","01290","C151","001 LEC","WF 4-530P","10 EVANS","Economic Development","4","FABER, B","17","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"70","01299","C151","103 DIS","Th 10-11A","75 EVANS","Economic Development","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"71","01302","C151","104 DIS","Th 11-12P","321 HAVILAND","Economic Development","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"72","01305","C151","105 DIS","W 3-4P","130 WHEELER","Economic Development","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"73","01308","C151","106 DIS","W 2-3P","385 LECONTE","Economic Development","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"74","01311","162","001 LEC","MW 11-12P","103 MOFFITT","Economics of Water Resources","3","SUNDING, D L","8","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"75","01314","162","101 DIS","W 2-3P","201 GIANNINI","Economics of Water Resources","","STEVENS, A W","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"76","01317","162","102 DIS","F 10-11A","258 DWINELLE","Economics of Water Resources","","STEVENS, A W","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"77","01320","C175","001 LEC","TuTh 11-1230P","166 BARROWS","The Economics of Climate Change","4","ANTHOFF, D","13","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"78","01322","C175","101 DIS","W 10-11A","78 BARROWS","The Economics of Climate Change","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"79","01446","C175","102 DIS","W 9-10A","211 DWINELLE","The Economics of Climate Change","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"80","01449","C175","103 DIS","W 2-3P","50 BARROWS","The Economics of Climate Change","","","","CURRENTLY FULL","ENVIRONMENTAL ECONOMICS AND POLICY"
"81","01452","C175","104 DIS","W 3-4P","50 BARROWS","The Economics of Climate Change","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"82","01323","C181","001 LEC","TuTh 11-1230P","100 LEWIS","International Trade","4","FALLY, T","13","","ENVIRONMENTAL ECONOMICS AND POLICY"
"83","01326","C181","101 DIS","Th 8-9A","3 EVANS","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"84","01329","C181","102 DIS","Th 9-10A","136 BARROWS","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"85","01332","C181","103 DIS","M 4-5P","85 EVANS","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"86","01335","C181","104 DIS","W 4-5P","130 WHEELER","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"87","01338","C181","105 DIS","M 3-4P","B1 HEARST ANNEX","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"88","01341","C181","106 DIS","W 3-4P","123 WHEELER","International Trade","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"89","01344","C183","001 LEC","TuTh 11-1230P","100 WHEELER","Forest Ecosystem Management","4","O'HARA, K L","13","","ENVIRONMENTAL ECONOMICS AND POLICY"
"90","01347","C183","101 LAB","M 2-5P","124 MULFORD","Forest Ecosystem Management","","","","","ENVIRONMENTAL ECONOMICS AND POLICY"
"91","SEE","195","1-6 IND","","TBA","Senior Thesis","4","","","NONE","ENVIRONMENTAL ECONOMICS AND POLICY"
"92","SEE","H196","1-7 IND","","TBA","Honors Research","4","","","NONE","ENVIRONMENTAL ECONOMICS AND POLICY"
"93","SEE","197","1-7 IND","","TBA","Field Study in Environmental Economics and Policy","1-3","","","NONE","ENVIRONMENTAL ECONOMICS AND POLICY"
"94","SEE","198","2-6 GRP","","TBA","Directed Group Studies for Advanced Undergraduates 1-3","","","","NONE","ENVIRONMENTAL ECONOMICS AND POLICY"
"95","SEE","199","1-6 IND","","TBA","Supervised Independent Study and Research","1-4","","","NONE","ENVIRONMENTAL ECONOMICS AND POLICY"
"96","02003","10","001 LEC","MW 12-2P","166 BARROWS","Introduction to American Studies","4","MORAN, K S","11","","AMERICAN STUDIES"
"97","02006","10","101 DIS","Tu 2-3P","85 EVANS","Introduction to American Studies","","","","","AMERICAN STUDIES"
"98","02012","10","103 DIS","W 9-10A","4 EVANS","Introduction to American Studies","","","","","AMERICAN STUDIES"
"99","02018","10","002 LEC","TuTh 11-1230P","5 EVANS","Introduction to American Studies","4","GOMER, J","13","","AMERICAN STUDIES"
"100","02021","101","002 LEC","Tu 2-5P","6 EVANS","Examining U.S. Cultures in Time","4","BRILLIANT, M","2","","AMERICAN STUDIES"
"101","02024","102","001 LEC","TuTh 2-330P","170 BARROWS","Examining U.S. Cultures in Place","4","SARAGOZA, A M","2","","AMERICAN STUDIES"
"102","02027","102","002 LEC","TuTh 1230-2P","390 HEARST MIN","Examining U.S. Cultures in Place","4","HENKIN, D M","15","","AMERICAN STUDIES"
"103","02030","102","201 DIS","M 10-11A","B1 HEARST ANNEX","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"104","02033","102","202 DIS","Tu 9-10A","41 EVANS","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"105","02036","102","203 DIS","W 8-9A","2070 VALLEY LSB","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"106","02039","102","204 DIS","Th 9-10A","107 GPB","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"107","02042","102","205 DIS","F 11-12P","50 BARROWS","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"108","02045","102","206 DIS","Tu 4-5P","115 KROEBER","Examining U.S. Cultures in Place","","","","","AMERICAN STUDIES"
"109","02048","C111E","001 LEC","MW 4-530P","2 LECONTE","Topics in American Studies","4","MORAN, K S","17","","AMERICAN STUDIES"
"110","02051","C111E","101 DIS","Tu 12-1P","121 LATIMER","Topics in American Studies","","","","","AMERICAN STUDIES"
"111","02054","C111E","102 DIS","Th 12-1P","121 LATIMER","Topics in American Studies","","","","","AMERICAN STUDIES"
"112","02057","C111E","103 DIS","Th 4-5P","87 DWINELLE","Topics in American Studies","","","","","AMERICAN STUDIES"
"113","02060","C111E","104 DIS","Tu 11-12P","221 WHEELER","Topics in American Studies","","","","","AMERICAN STUDIES"
"114","02063","139AC","001 LEC","TuTh 930-11A","180 TAN","From Civil Rights Era to the New Gilded Age: Strugg...4","","BRILLIANT, M","10","","AMERICAN STUDIES"
"115","02066","139AC","101 DIS","Tu 12-1P","50 BARROWS","From Civil Rights Era to the New Gilded Age: Strugg...","","","","","AMERICAN STUDIES"
"116","02069","139AC","102 DIS","W 2-3P","106 DWINELLE","From Civil Rights Era to the New Gilded Age: Strugg...","","","","","AMERICAN STUDIES"
"117","02072","139AC","103 DIS","Th 4-5P","83 DWINELLE","From Civil Rights Era to the New Gilded Age: Strugg...","","","","","AMERICAN STUDIES"
"118","02078","C152","001 LEC","MWF 11-12P","174 BARROWS","Native American Literature","4","PIATOTE, B","8","","AMERICAN STUDIES"
"119","02081","C172","001 LEC","MW 11-1230P","C230 CHEIT","History of American Business","3","ROSEN, C A","18","","AMERICAN STUDIES"
"120","02093","191","001 SEM","Tu 10-12P","71 EVANS","Senior Seminar","4","COHEN, M M","","NONE","AMERICAN STUDIES"
"121","02096","191","002 SEM","W 12-2P","5 EVANS","Senior Seminar","4","GOMER, J","","NONE","AMERICAN STUDIES"
"122","02099","191","003 SEM","Tu 8-10A","5 EVANS","Senior Seminar","4","PALMER, C","NONE","JR, SR & AMERICAN STUDIES","AMERICAN STUDIES"
"123","SEE","H195","001 SEM","W 10-12P","4 EVANS","Honors Thesis","4","GOMER, J","NONE","JR, SR & AMERICAN STUDIES & BY CATEGORY","AMERICAN STUDIES"
"124","02303","1","001 LEC","TuTh 11-1230P","WHEELER AUD","Introduction to Biological Anthropology","4","AGARWAL, S C","13","","ANTHROPOLOGY"
"125","02306","1","101 DIS","M 9-10A","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"126","02309","1","102 DIS","M 10-11A","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"127","02312","1","103 DIS","M 11-12P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"128","02315","1","104 DIS","M 12-1P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"129","02318","1","105 DIS","M 1-2P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"130","02321","1","106 DIS","M 4-5P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"131","02324","1","107 DIS","Tu 9-10A","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"132","02327","1","108 DIS","Tu 10-11A","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"133","02330","1","109 DIS","Tu 1-2P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"134","02333","1","110 DIS","Tu 2-3P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"135","02336","1","111 DIS","Tu 3-4P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"136","02339","1","112 DIS","Tu 4-5P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"137","02342","1","113 DIS","W 9-10A","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"138","02345","1","114 DIS","W 10-11A","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"139","02348","1","115 DIS","W 11-12P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"140","02351","1","116 DIS","W 12-1P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"141","02354","1","117 DIS","W 1-2P","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"142","02357","1","118 DIS","W 2-3P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"143","02360","1","119 DIS","W 3-4P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"144","02363","1","120 DIS","W 4-5P","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"145","02366","1","121 DIS","Th 9-10A","65 BARROWS","Introduction to Biological Anthropology","","","","","ANTHROPOLOGY"
"146","02369","1","122 DIS","Th 10-11A","65 BARROWS","Introduction to Biological Anthropology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"147","02372","2AC","001 LEC","TuTh 1230-2P","245 LI KA SHING","Introduction to Archaeology","4","SUNSERI, J U","15","","ANTHROPOLOGY"
"148","02375","2AC","101 DIS","M 9-10A","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"149","02378","2AC","102 DIS","M 10-11A","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"150","02381","2AC","103 DIS","M 11-12P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"151","02384","2AC","104 DIS","M 12-1P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"152","02387","2AC","105 DIS","M 1-2P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"153","02390","2AC","106 DIS","Tu 9-10A","74 BARROWS","Introduction to Archaeology","","","","","ANTHROPOLOGY"
"154","02393","2AC","107 DIS","Tu 10-11A","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"155","02396","2AC","108 DIS","Tu 11-12P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"156","02399","2AC","109 DIS","Tu 2-3P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"157","02402","2AC","110 DIS","Tu 3-4P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"158","02405","2AC","111 DIS","W 9-10A","74 BARROWS","Introduction to Archaeology","","","","","ANTHROPOLOGY"
"159","02408","2AC","112 DIS","W 10-11A","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"160","02411","2AC","113 DIS","W 11-12P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"161","02414","2AC","114 DIS","W 3-4P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"162","02417","2AC","115 DIS","W 4-5P","74 BARROWS","Introduction to Archaeology","","","","","ANTHROPOLOGY"
"163","02420","2AC","116 DIS","W 2-3P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"164","02423","2AC","117 DIS","Th 9-10A","74 BARROWS","Introduction to Archaeology","","","","","ANTHROPOLOGY"
"165","02426","2AC","118 DIS","Th 10-11A","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"166","02429","2AC","119 DIS","Th 11-12P","74 BARROWS","Introduction to Archaeology","","","","CURRENTLY FULL","ANTHROPOLOGY"
"167","02432","3AC","001 LEC","TuTh 2-330P","155 DWINELLE","Introduction to Social/Cultural Anthropology (Ameri...","4","HOLSTON, J","2","BY CATEGORY","ANTHROPOLOGY"
"168","02435","3AC","101 DIS","M 9-10A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","","ANTHROPOLOGY"
"169","02438","3AC","102 DIS","M 10-11A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"170","02441","3AC","103 DIS","M 11-12P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"171","02444","3AC","104 DIS","M 12-1P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"172","02447","3AC","105 DIS","M 1-2P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"173","02450","3AC","106 DIS","M 4-5P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"174","02453","3AC","107 DIS","Tu 9-10A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","","ANTHROPOLOGY"
"175","02456","3AC","108 DIS","Tu 10-11A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"176","02459","3AC","109 DIS","Tu 11-12P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"177","02462","3AC","110 DIS","Tu 12-1P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"178","02465","3AC","111 DIS","Tu 1-2P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"179","02468","3AC","112 DIS","Tu 4-5P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"180","02471","3AC","113 DIS","W 9-10A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"181","02474","3AC","114 DIS","W 10-11A","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"182","02477","3AC","115 DIS","W 11-12P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"183","02480","3AC","116 DIS","W 12-1P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"184","02483","3AC","117 DIS","W 1-2P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"185","02486","3AC","118 DIS","W 2-3P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
"186","02489","3AC","119 DIS","W 3-4P","76 BARROWS","Introduction to Social/Cultural Anthropology (Ameri...","","","","CURRENTLY FULL","ANTHROPOLOGY"
